key,valeur
site_name,Flutter Restaurant
setting_label,Réglage
lbl_search_shop,Recherche Boutique
status_label,transactions Statut
trans_detail,Détail de la transaction
shops_unpublish_list_label,Liste non publiées Boutique
btn_create_new_shop,Créer un nouveau boutique
btn_shop_list,Liste Dépublier Boutique
btn_push_notification,Notification push
btn_system_user,utilisateur système
btn_export_database,Base de données d'exportation
btn_about_app,À propos App
address_label,Adresse
lbl_about_shop,À propos de Boutique
lbl_categories,Catégories
user_email,Email
user_password,Mot de passe
sign_in,Se connecter
total_users_count_label,Nombre total d'utilisateurs
total_cat_count_label,Catégories totales
total_wallpaper_count_label,Fonds d'écran totaux
total_contact_label,Nombre total de messages de contact
btn_search,Chercher
back_shop_list,Retour Boutique Liste
err_image_missing,Aucun fichier téléchargé
about_info,A propos de l'information
allowed_modules,Module permis
shop_name,Nom de la boutique
add_more_color,Ajouter plus de couleur
color_code,Couleur Aliments
product_title,Titre
product_desc,La description
add_more_spec,Ajouter Plus Spécification
prd_specification,Spécification de Aliments
product_name_count,Nombre Nom du Aliments
select_multiple_images,S'il vous plaît sélectionner plusieurs images du Aliments.
noti_add,Ajouter Notis
prd_unit,Unité Aliments
prd_measurement,mesure du Aliments
noti_search,Recherche Noti
error_login,Vos informations de connexion sont erronées. Veuillez réessayer.
profile_img,Photo de profil
cat_add,Ajouter des catégories
wrn_no_data,Il n'y a pas encore de données
cat_name,Nom de catégorie
cat_img,catégorie photo
cat_info,Informations Catégorie
cat_ordering,commande
cat_edit,Modifier la catégorie
success_cat_add,Catégorie a été ajouté avec succès
success_cat_edit,Catégorie a été mis à jour avec succès
success_upload,L'image a été mis à jour avec succès
delete_cat_label,Supprimer la catégorie?
cat_yes_all_message,"Lorsque supprimer cette catégorie, il supprimera toutes les sous-catégories connexes et Alimentss également. Alors, voulez-vous toujours de le supprimer?"
success_cat_delete,Catégorie a été supprimé
cat_search,Rechercher Catégorie
cat_icon,Icône de catégorie
btn_replace_icon,remplacer Icône
upload_icon,Télécharger Icône
about_upload_icon,Télécharger Icône
fav_upload_icon,Icône fav
sidebar_upload_icon,Logo barre latérale
btn_upload,Télécharger
err_cat_name,S'il vous plaît fournir le nom de la catégorie
err_cat_len,La longueur de la catégorie Le nom doit être supérieure à 4
err_cat_exist,Nom de la catégorie est déjà existé dans le système
subcat_info,Informations Sous Catégorie
subcat_name,Nom Sous Catégorie
subcat_ordering,Ordre Sous Catégorie
subcat_img,Photo Sous Catégorie
subcat_icon,Sous-catégorie Icône
subcat_search,Recherche Sous catégorie
subcat_add,Ajouter Sous catégorie
subcat_edit,Modifier Sous catégorie
success_subcat_edit,Sous-catégorie a été mis à jour avec succès
success_subcat_add,Sous-catégorie a été ajouté avec succès
success_subcat_delete,Sous-catégorie a été supprimé
err_subcat_name,S'il vous plaît fournir le nom sous catégorie
err_subcat_len,La longueur de la Sous-catégorie Nom doit être supérieure à 4
err_subcat_exist,Nom Sous catégorie est déjà existé dans le système
delete_subcat_label,Supprimer Sous catégorie?
subcat_delete_confirm_message,Voulez-vous vraiment supprimer cette sous-catégorie?
subcat_yes_all_message,"Lorsque supprimer cette sous catégorie, il supprimera tous les Alimentss également. Alors, voulez-vous toujours de le supprimer?"
subcat_no_only_message,<B> Sous catégorie uniquement </ b> - Seul Sous catégorie supprimera du système.
subcat_yes_all_label,Oui tout
subcat_no_only_label,Seulement Sous catégorie
select_subcat,Sélectionnez Sous catégorie
select_cat,Choisir une catégorie
subcat_panel_title,Liste Sous-catégorie
Prd_search_cat,Sélectionnez Nom de la catégorie
btn_reset,Réinitialiser
btn_yes,Oui
upload_photo,Envoyer la photo
upload_button,Télécharger
replace_photo_button,Remplacer Photo de couverture
photo_desc_label,description photo
del_cover_photo,Supprimer Photo de couverture
del_cover_photo_confirm,Etes-vous sûr de vouloir supprimer la photo?
del_icon_label,Supprimer l'icône
del_icon_confirm,Etes-vous sûr de vouloir supprimer l'icône?
status,Statut (Is Publier?)
dis_name,Nom Discount
dis_add,Ajouter des Réductions
dis_percent,Pour cent de réduction (en%)
choose_prd_label,Choisissez des Alimentss
dis_info,Informations Discount
dis_photo,Remise photo
prd_name,Nom du Aliments
prd_code,Code
product_price,Prix($)
dis_add,Ajouter des Réductions
success_dis_add,Réductions a été ajouté avec succès
success_dis_edit,Réductions a été mis à jour avec succès
delete_dis_label,Réductions Supprimer?
dis_delete_confirm_message,Etes-vous sûr de supprimer ce rabais?
dis_edit,Réductions Modifier
err_dis_name,S'il vous plaît fournir le nom Discount
err_dis_percent,S'il vous plaît fournir pour cent de réduction
err_dis_len,La longueur du nom Discount doit être supérieure à 4
err_dis_exist,Nom escompte est déjà existé dans le système
success_dis_delete,Réductions a été supprimé avec succès
discount_photo,Remise photo
dis_search,Recherche Remise
feed_add,Ajouter de nouveaux flux
feed_info,Informations de nouveaux flux
feed_name,Nom du fil
feed_desc,description de l'alimentation
feed_edit,Modifier les aliments du bétail
success_feed_add,De nouveaux flux a été ajouté avec succès
success_feed_edit,Les nouveaux aliments du bétail a été mis à jour avec succès
err_dup_name,Le nom est déjà existé dans le système
err_feed_exist,Nom d'alimentation est déjà existé dans le système
delete_feed_label,Supprimer de nouveaux flux?
feed_delete_confirm_message,Etes-vous sûr de supprimer cette nouvelles RSS?
success_feed_delete,Nouveaux flux a été supprimé avec succès
f_item_cat_required,S'il vous plaît Choisir Nom de la catégorie
err_feed_len,La longueur du fourrage Le nom doit être supérieur à 4
err_feed_name,S'il vous plaît fournir le nom d'alimentation
feed_search,feed Recherche
feed_gallery,Galerie d'alimentation
list_product_nav,Aliments
prd_add,Ajouter un Aliments
att_add,Ajouter un nouvel Personnalisé
add_att_detail,Ajouter un nouvel Personnalisé Détail
list_Personnalisé_header,Liste d'Personnalisés en-tête
wrn_no_data,Il n'y a pas encore de données
product_name,Nom du Aliments
att_name,Nom d'Personnalisé
Prd_search_subcat,Sélectionnez Sous Nom de la catégorie
Prd_search_dis,Sélectionner le type Discount
product_gallery,Galerie de Alimentss
prd_info,Information Aliments
rec_prd_info,Alimentss récemment ajoutés
att_info,Informations Personnalisé
prd_desc,Description du Aliments
prd_high_info,Informations Faits saillants du Aliments
prd_edit,Modifier le Aliments
prd_code,Code Aliments
success_prd_add,Le Aliments a été ajouté avec succès
success_prd_edit,Le Aliments a été mis à jour avec succès
success_upload,L'image a été mis à jour avec succès
delete_prd_label,Supprimer Aliments?
prd_yes_all_message,"Lorsque supprimer ce Aliments, il supprimera également toutes les sous-catégories connexes et catégorie. Alors, voulez-vous toujours de le supprimer?"
success_prd_delete,Le Aliments a été supprimé avec succès
prd_search,Recherche de Alimentss
btn_save_prd_att,Enregistrer Aller à Personnalisé Aliments
btn_att_list,Liste des Personnalisés
btn_save_gallery,Enregistrer Aller à la galerie
unit_price,Prix ​​unitaire
search_tag,Recherche Tag / mots-clés
f_item_subcat_required,S'il vous plaît Sélectionner Nom Sous Catégorie
f_item_discount_required,S'il vous plaît Choisir Nom de la catégorie
err_Prd_name,S'il vous plaît fournir le nom du Aliments
err_Prd_len,La longueur du nom du Aliments doit être supérieur à 4
err_Prd_exist,Nom du Aliments est déjà existé dans le système
is_discount,Discount est?
is_featured,Est en vedette?
is_available,Est disponible?
order_by,Commandé par
select_order,Sélectionnez votre commande
from_price,de Prix
to_price,À prix
shipping_cost,Frais de port
minimum_order,Commande minimum
original_price,Prix ​​d'origine
err_access,"Désolé, vous n'avez pas accès à prendre cette mesure"
err_model,erreur de base de données est survenue
err_sys,Erreur système est survenue
btn_edit,Éditer
btn_update,Mise à jour
btn_delete,Supprimer
btn_publish,Publier
no,Non
btn_save,sauvegarder
btn_cancel,Annuler
btn_replace_photo,remplacer photo
Remove,Retirer
success_img_delete,L'image a été supprimé
trans_date_label,Date
success_user_add,L'utilisateur du système a été ajouté avec succès
success_user_edit,L'utilisateur du système a été mis à jour avec succès
need_to_verify,Votre besoin de messagerie pour vérifier avec le code de vérification. S'il vous plaît regarder votre e-mail enregistrée.
count_detail,Comtes de détail
add_att_detail,Ajouter un Personnalisé Détail
detail_label,Détail
att_edit,Modifier l'Personnalisé
success_att_add,Personnalisé a été ajouté avec succès
success_att_edit,Personnalisé a été mis à jour avec succès
delete_att_label,Supprimer un Personnalisé?
att_yes_all_message,"Lorsque vous supprimez cet en-tête personnalisé, il supprimera également tous les détails personnalisés associés. Voulez-vous toujours le supprimer?"
success_att_delete,Personnalisé a été supprimé avec succès
att_delete_confirm_message,"Voulez-vous supprimer tous les éléments sous qui, ensemble, Aliments?"
att_search,Recherche d'Personnalisés
att_detail_search,Recherche d'Personnalisés Détail
att_price,Personnalisés Prix
list_Personnalisé_detail,Liste d'Personnalisés de détail
selected_product_name,Nom du Aliments sélectionné
selected_Personnalisé_header,Sélectionné Nom d'Personnalisé en-tête
att_detail_name,Nom d'Personnalisé Détail
Personnalisé_detail_extra_price,"(Si votre Personnalisé facture un prix supplémentaire, veuillez fournir uniquement un prix supplémentaire. Il s'ajoutera automatiquement au prix du Aliments. Il ne remplacera pas le prix de l'article. Ajoutez simplement un prix supplémentaire. Par exemple; price_total = product_price + Personnalisé_additional_price)"
success_attdetail_edit,Détail Personnalisé a été mis à jour avec succès
success_attdetail_add,Détail Personnalisé a été ajouté avec succès
attdetail_edit,Mise à jour des Personnalisés d'information détaillée
success_attdetail_delete,Détail Personnalisé a été supprimé
att_no_only_message,Seul Personnalisé - seul Personnalisé Détail effacera du système.
delete_attdetail_label,Supprimer un Personnalisé Détail?
err_att_name,S'il vous plaît fournir le nom d'Personnalisé
err_att_len,La longueur de l'Personnalisé Le nom doit être supérieur à 4
err_att_exist,Nom d'Personnalisé est déjà existé dans le système
att_detail_info,Informations d'Personnalisé Détail
err_detail_name,S'il vous plaît fournir nom d'Personnalisé Détail
err_detail_len,La longueur de l'Personnalisé Détail Nom doit être supérieur à 4
err_detail_exist,Nom d'Personnalisé de détail est déjà existé dans le système
collect_search,Chercher
collect_photo,collection de photos
collect_name,collection Nom
collect_status,Statut collection
collect_info,collecte
