key,value
site_name,Flutter Restaurant
setting_label,Setting
lbl_search_shop,Search Shop
status_label,Transactions Status
trans_detail,Transaction Detail
shops_unpublish_list_label,Unpublished Shop List
btn_create_new_shop,Create New Shop
btn_shop_list,Unpublish Shop List
btn_push_notification,Push Notification
btn_system_user,System User
btn_export_database,Export Database
btn_about_app,About App
address_label,Address
lbl_about_shop,About Shop
lbl_categories,Categories
user_email,Email
user_password,Password
sign_in,Signin
total_users_count_label,Total Users
total_cat_count_label,Total Categories
total_wallpaper_count_label,Total Wallpapers
total_contact_label,Total Contact Messages
btn_search,Search
back_shop_list,Back Shop List
err_image_missing,No file is uploaded
about_info,About Information
allowed_modules,Allowed Module
shop_name,Shop Name
product_title,Title
product_desc,Description
add_more_spec,Add More Specification
prd_specification,Food Specification
product_name_count,Food Name Count
select_multiple_images,Please select multiple Food images.
noti_add,Add Notis
noti_search,Search Noti
error_login,Your login credentials are wrong. Please try again.
profile_img,Profile Image
cat_add,Add Categories
wrn_no_data,There is no data yet
cat_name,Category Name
cat_img,Category Photo
cat_info,Category Information
cat_ordering,Ordering
cat_edit,Edit Category
success_cat_add,Category has been successfully added
success_cat_edit,Category has been successfully updated
success_upload,Image has been successfully updated
delete_cat_label,Delete Category?
cat_yes_all_message,"When delete this category, it will delete all related sub categories and products also. So, do you still want to delete it?"
success_cat_delete,Category has been successfully deleted
cat_search,Search Category
cat_icon,Category Icon
btn_replace_icon,Replace Icon
upload_icon,Upload Icon
about_upload_icon,Upload Icon
fav_upload_icon,Fav Icon
sidebar_upload_icon,Sidebar Logo
btn_upload,Upload
err_cat_name,Please provide category name
err_cat_len,The length of Category Name must be greater than 4
err_cat_exist,Category Name is already existed in the system
subcat_info,Sub Category Information
subcat_name,Sub Category Name
subcat_ordering,Sub Category Order
subcat_img,Sub Category Photo
subcat_icon,Sub Category Icon
subcat_search,Search Sub Category
subcat_add,Add Sub Category
subcat_edit,Edit Sub Category
success_subcat_edit,Sub Category has been successfully updated
success_subcat_add,Sub Category has been successfully added
success_subcat_delete,Sub Category has been successfully deleted
err_subcat_name,Please provide sub category name
err_subcat_len,The length of Sub Category Name must be greater than 4
err_subcat_exist,Sub Category Name is already existed in the system
delete_subcat_label,Delete Sub Category?
subcat_delete_confirm_message,Are you sure to delete this Sub Category?
subcat_yes_all_message,"When delete this sub category, it will delete all related foods also. So, do you still want to delete it?"
subcat_no_only_message,<b>Only Sub Category</b> - Only Sub Category will delete from system.
subcat_yes_all_label,Yes All
subcat_no_only_label,Only Sub Category
select_subcat,Select Sub Category
select_cat,Select Category
subcat_panel_title,Sub Category List
Prd_search_cat,Select Category Name
btn_reset,Reset
btn_yes,Yes
upload_photo,Upload photo
upload_button,Upload
replace_photo_button,Replace Cover Photo
photo_desc_label,Photo Description
del_cover_photo,Delete Cover Photo
del_cover_photo_confirm,Are you sure you want to delete the photo?
del_icon_label,Delete Icon
del_icon_confirm,Are you sure you want to delete the icon?
status,Status(Is Publish?)
dis_name,Discount Name
dis_add,Add Discounts
dis_percent,Discount Percent(%)
choose_prd_label,Choose Foods
dis_info,Discount Informations
dis_photo,Discount Photo
prd_name,Food Name
prd_code,Code
food_price,Price($)
dis_add,Add Discounts
success_dis_add,Discounts has been successfully added
success_dis_edit,Discounts has been successfully updated
delete_dis_label,Delete Discounts?
dis_delete_confirm_message,Are you sure to delete this Discounts?
dis_edit,Edit Discounts
err_dis_name,Please provide Discount name
err_dis_percent,Please provide Discount Percent
err_dis_len,The length of Discount Name must be greater than 4
err_dis_exist,Discount Name is already existed in the system
