key,القيمة
site_name,Flutter Restaurant
setting_label,ضبط
lbl_search_shop,البحث متجر
status_label,المعاملات الحالة
trans_detail,عملية التفاصيل
shops_unpublish_list_label,لم تنشر قائمة للتسوق
btn_create_new_shop,إنشاء متجر جديد
btn_shop_list,إلغاء النشر قائمة للتسوق
btn_push_notification,إعلام دفع
btn_system_user,نظام العضو
btn_export_database,تصدير قاعدة البيانات
btn_about_app,حول التطبيقات
address_label,عنوان
lbl_about_shop,معلومات عن متجر
lbl_categories,التصنيفات
user_email,البريد الإلكتروني
user_password,كلمه السر
sign_in,تسجيل الدخول
total_users_count_label,إجمالي المستخدمين
total_cat_count_label,إجمالي الفئات
total_wallpaper_count_label,مجموع خلفيات
total_contact_label,إجمالي رسائل الاتصال
btn_search,بحث
back_shop_list,العودة قائمة للتسوق
err_image_missing,يتم تحميل أي ملف
about_info,معلومات عن
allowed_modules,وحدة سمح
shop_name,اسم المحل
add_more_color,إضافة المزيد من الألوان
color_code,لون المنتج
product_title,عنوان
product_desc,وصف
add_more_spec,إضافة المزيد من المواصفات
prd_specification,مواصفات الغذاء
product_name_count,عدد اسم الطعام
select_multiple_images,يرجى تحديد صور طعام متعددة.
noti_add,إضافة Notis
prd_unit,وحدة المنتج
prd_measurement,قياس المنتج
noti_search,البحث نوتي
error_login,بيانات اعتماد تسجيل الدخول الخاصة بك خاطئة. حاول مرة اخرى.
profile_img,صورة البروفيل
cat_add,إضافة فئات
wrn_no_data,لا توجد بيانات حتى الآن
cat_name,اسم التصنيف
cat_img,فئة صور
cat_info,معلومات الفئة
cat_ordering,تنظيم
cat_edit,تحرير الفئة
success_cat_add,تمت إضافة فئة بنجاح
success_cat_edit,تم تحديث فئة بنجاح
success_upload,تم تحديث الصورة بنجاح
delete_cat_label,حذف الفئة؟
cat_yes_all_message,عندما حذف هذه الفئة، فإنه سيتم حذف كل الفئات الفرعية والمنتجات ذات الصلة أيضا. لذا، هل لا تزال ترغب في حذفه؟
success_cat_delete,لقد تم حذف الفئة بنجاح
cat_search,البحث التصنيف
cat_icon,فئة أيقونة
btn_replace_icon,استبدال أيقونة
upload_icon,تحميل أيقونة
about_upload_icon,تحميل أيقونة
fav_upload_icon,الصوت العربي الحر أيقونة
sidebar_upload_icon,الشريط الجانبي الشعار
btn_upload,رفع
err_cat_name,يرجى تقديم اسم الفئة
err_cat_len,يجب أن يكون طول اسم التصنيف أكبر من 4
err_cat_exist,وتوجد بالفعل اسم التصنيف في النظام
subcat_info,جنوب معلومات الفئة
subcat_name,الفرعي اسم التصنيف
subcat_ordering,التصنيف الفرعي ترتيب
subcat_img,الفئة الفرعية صور
subcat_icon,التصنيف الفرعي أيقونة
subcat_search,بحث التصنيف الفرعي
subcat_add,إضافة التصنيف الفرعي
subcat_edit,تحرير الفئة الفرعية
success_subcat_edit,تم تحديث التصنيف الفرعي بنجاح
success_subcat_add,تمت إضافة التصنيف الفرعي بنجاح
success_subcat_delete,لقد تم حذف التصنيف الفرعي بنجاح
err_subcat_name,يرجى تقديم اسم الفئة الفرعية
err_subcat_len,يجب أن يكون طول اسم الفئة الفرعية أكبر من 4
err_subcat_exist,وتوجد بالفعل اسم الفئة الفرعية في النظام
delete_subcat_label,حذف الفئة الفرعية؟
subcat_delete_confirm_message,هل أنت متأكد من حذف هذه الفئة الفرعية؟
subcat_yes_all_message,عند حذف هذه الفئة الفرعية ، سيتم حذف جميع الأطعمة ذات الصلة أيضًا. لذا ، هل ما زلت تريد حذفه؟
subcat_no_only_message,<ب> فقط التصنيف الفرعي </ B> - فقط الفئة الفرعية سيتم حذف من النظام.
subcat_yes_all_label,نعم جميعا
subcat_no_only_label,فقط التصنيف الفرعي
select_subcat,حدد الفئة الفرعية
select_cat,اختر الفئة
subcat_panel_title,جنوب قائمة الفئات
Prd_search_cat,حدد اسم التصنيف
btn_reset,إعادة تعيين
btn_yes,نعم
upload_photo,حمل الصورة
upload_button,رفع
replace_photo_button,استبدال صورة الغلاف
photo_desc_label,وصف الصوره
del_cover_photo,حذف صورة الغلاف
del_cover_photo_confirm,هل أنت متأكد أنك تريد حذف الصورة؟
del_icon_label,أيقونة الحذف
del_icon_confirm,هل أنت متأكد أنك تريد حذف رمز؟
status,الحالة (هل نشر؟)
dis_name,اسم الخصم
dis_add,إضافة خصومات
dis_percent,نسبة الخصم (٪)
choose_prd_label,اختر الأطعمة
dis_info,خصم معلومات
dis_photo,خصم صور
prd_name,اسم الغذاء
prd_code,الشفرة
product_price,السعر ($)
dis_add,إضافة خصومات
success_dis_add,تمت إضافة خصومات بنجاح
success_dis_edit,تم تحديث تخفيض بنجاح
delete_dis_label,خصومات الحذف؟
dis_delete_confirm_message,هل أنت متأكد من حذف هذه الخصومات؟
dis_edit,تحرير خصومات
err_dis_name,يرجى تقديم اسم الخصم
err_dis_percent,يرجى تقديم الخصم في المئة
err_dis_len,يجب أن يكون طول اسم الخصم أكبر من 4
err_dis_exist,وجدت اسم الخصم بالفعل في النظام
success_dis_delete,لقد تم حذف تخفيض بنجاح
discount_photo,خصم صور
dis_search,بحث الخصم
feed_add,إضافة الخلاصات الجديدة
feed_info,خلاصات جديدة معلومات
feed_name,أطعمنى
feed_desc,تغذية الوصف
feed_edit,تحرير الخلاصات
